,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9
5,三파, ,유땅, , , , , , ,2,0,0,0,0.255,손지환,구장 : 잠실,"관중 : 12,911",2004.08.03(화),개시 : 18:30,경기시간 : 4:02,KIA,두산, 
6, , , , , ,투희번,삼진, , ,1,0,0,1,0.231,이현곤,구장 : 잠실,"관중 : 12,911",2004.08.03(화),개시 : 18:30,경기시간 : 4:02,KIA,두산,4구
7, ,좌안, ,삼진, , , , , ,2,1,0,0,0.218,김주형,구장 : 잠실,"관중 : 12,911",2004.08.03(화),개시 : 18:30,경기시간 : 4:02,KIA,두산, 
8, , , , , ,一땅, , , ,1,0,0,0,0.227,김경언,구장 : 잠실,"관중 : 12,911",2004.08.03(화),개시 : 18:30,경기시간 : 4:02,KIA,두산, 
9, , , , , , , ,좌안, ,2,1,0,0,0.286,마해영,구장 : 잠실,"관중 : 12,911",2004.08.03(화),개시 : 18:30,경기시간 : 4:02,KIA,두산,二직
10, ,유땅, ,중안, ,우비, ,투희선, ,3,1,0,1,0.244,김상훈,구장 : 잠실,"관중 : 12,911",2004.08.03(화),개시 : 18:30,경기시간 : 4:02,KIA,두산,4구
11, ,투땅, ,좌안, , , , , ,2,1,0,0,0.220,김경진,구장 : 잠실,"관중 : 12,911",2004.08.03(화),개시 : 18:30,경기시간 : 4:02,KIA,두산, 
12, , , , , , ,우안, , ,1,1,0,0,0.263,이재주,구장 : 잠실,"관중 : 12,911",2004.08.03(화),개시 : 18:30,경기시간 : 4:02,KIA,두산, 
13, , , , , , , ,유안, ,2,1,0,1,0.500,김원섭,구장 : 잠실,"관중 : 12,911",2004.08.03(화),개시 : 18:30,경기시간 : 4:02,KIA,두산,삼진
0,우안,투땅, ,투번, ,좌안, ,우안, ,6,3,0,2,0.276,전상렬,구장 : 잠실,"관중 : 12,911",2004.08.03(화),개시 : 18:30,경기시간 : 4:02,두산,KIA,一직
